Fecha de Contrato,Nº Expediente,Destino,Título:,Fecha de inicio,Fecha fin actual,Importe bruto licitación:,Importe bruto adjudicación:,Forma adjudicación:,Número de licitadores:,NIF,Razón social:,Fecha aprobación,duration_days,Importe bruto adjudicación per day,% bruto respect licitacion
,DPM-280/2014-2,VARIOS AEROPUERTOS,A.M. PROYECTO Y EJECUCIÓN AISLAMIENTO ACÚSTICO VIVIENDAS INCLUIDAS EN DIVERSOS PLANES DE AISLAMIENTO ACÚSTICO DE APTOS DE LA RED DE AENA. FASE II,,2018-03-26,,0.0,PROCEDIMIENTO DE LICITACIÓN CON NEGOCIACIÓN,,,,,,,0.0
2022-07-21,TFN-40/2022,APTO.TENERIFE NORTE,NUEVOS EQUIPOS DE COMUNICACIONES PARA CEOPS,2022-07-21,2022-09-21,26118.7,20998.75,PROCEDIMIENTO ABIERTO SIMPLIFICADO,3.0,B035039320,SERVICIOS ELECTRONICOS S.,,62.0,338.68951612903226,0.8039737812371979
2022-07-21,IBZ-32/2022,APTO.IBIZA,"MTTO. PREVENT. CORREC. ASIST. TELEF.CONSULTAS E INCIDENCIAS Y RECAMB. PARA TRES MÁQUINAS PAGO TARJETAS, SEG Y ACCESOS UBICADAS EN EDIF. TERM Y BT",2022-08-21,2023-08-21,12402.5,12402.5,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,A058090713,IBERSELEX SA,0.0,365.0,33.97945205479452,1.0
2022-07-20,ALC-12/2022,APTO.ALICANTE-ELCHE,SEGUIMIENTO DE LA ACTIVIDAD COMERCIAL EN EL AEROPUERTO DE ALICANTE-ELCHE,2022-08-01,2023-08-01,66550.0,58382.5,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,B029869856,AERTEC SOLUTIONS SL,,365.0,159.95205479452054,0.8772727272727273
2022-07-18,MAD-62/2022,APTO.A.SUAREZ MAD-BARAJAS,ACTUACIONES PARA RECUPERACIÓN DE ZONAS FORESTALES,2022-07-18,2022-11-21,648348.86,421426.76,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,A032016511,FORESTACION Y REPOBLAC SA,,126.0,3344.6568253968253,0.6500000015423796
2022-07-18,AGP-549/2021,APTO.MÁLAGA COSTA SOL,SERVICIO DE MANTENIMIENTO INTEGRAL DE LOS SISTEMAS DE CONTROL DE INSTALACIONES DEL AEROPUERTO DE MÁLAGA_COSTA DEL SOL 2022,2022-08-15,2023-08-15,354046.1,346893.17,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,1.0,A019024249,AMPER SISTEMAS SA,,365.0,950.3922465753424,0.979796614056757
2022-07-18,BCN-202/2022,APTO.J.TARRAD BARCELONA P,ADECUACIÓN EN NAVE DE LA PARCELA 1.2 DEL CENTRO DE CARGA AÉREA,2022-08-18,2022-10-18,96798.33,95830.58,PROCEDIMIENTO ABIERTO SIMPLIFICADO,2.0,A080241789,"SERVEO SERVICIOS, SAU",,61.0,1570.9931147540983,0.9900024101655472
2022-07-17,HSK-181/2022,APTO.HUESCA-PIRINEOS,SERVICIO DE JARDINERIA EN EL AEROPUERTO DE HUESCA PIRINEOS,2022-07-17,2023-01-17,7671.35,7671.35,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,B022403422,LRV SERV EXTERNOS SLU,,184.0,41.692119565217396,1.0
2022-07-17,SLM-212/2022,APTO.SALAMANCA,"MANTENIMIENTO DE CLIMATIZACION, ENERGIA Y SISTEMAS CONTRAINCENDIOS DEL AEROPUERTO DE SALAMANCA",2022-07-17,2023-01-17,7431.82,7369.6,PROCEDIMIENTO ABIERTO SIMPLIFICADO,1.0,A079486833,ELECNOR SERV PROYECTOS SA,,184.0,40.05217391304348,0.9916278919564792
2022-07-16,BCN-155/2022,APTO.J.TARRAD BARCELONA P,SERVICIO DE CONTROL DE CALIDAD DE SALAS VIP Y SALA PREMIUM EN EL AEROPUERTO JOSEP TARRADELLAS BARCELONA-EL PRAT,2022-08-16,2023-08-16,73851.14,64130.0,PROCEDIMIENTO ABIERTO VARIOS CRITERIOS,3.0,B029869856,AERTEC SOLUTIONS SL,,365.0,175.6986301369863,0.8683684503719239
